82,355,489,127,65,268,113,354
80,342,479,123,60,263,116,374
81,337,441,111,48,351,126,338
83,340,469,108,40,340,139,400
77,303,529,103,39,321,127,354
72,282,594,110,36,326,123,326
70,255,602,115,43,310,113,321
66,252,609,142,55,207,100,305
73,252,580,148,59,244,89,234
70,219,579,149,60,246,87,298
72,230,491,136,63,252,100,315
69,259,448,137,62,250,102,297
68,256,515,116,53,261,101,297
62,257,510,111,51,194,97,298
57,298,432,99,53,255,98,232
57,312,495,103,54,249,90,287
66,285,539,111,52,285,90,290
69,300,484,113,49,289,95,302
65,286,492,108,48,282,91,294
73,277,508,112,48,226,82,336
69,245,445,105,44,216,80,280
66,250,413,88,45,161,78,273
64,225,450,88,45,128,73,261
62,224,423,95,45,125,72,246
69,207,428,95,42,126,65,176
75,210,475,109,41,179,61,161
73,221,525,121,41,187,65,174
74,228,477,110,45,191,64,167
78,247,459,110,46,194,65,164
71,244,414,109,43,182,68,150
69,325,456,99,45,130,68,186
68,338,416,83,42,146,61,166
75,341,411,86,39,147,62,167
74,322,432,91,37,159,73,170
67,308,492,87,38,159,74,230
60,227,404,83,41,150,70,203
67,213,352,81,40,124,72,207
60,213,391,89,44,116,70,204
60,264,399,83,51,187,64,242
60,263,382,107,55,187,66,193
67,250,408,103,52,193,65,193
58,228,510,107,54,194,65,193
66,237,569,115,50,201,72,271
69,257,546,112,42,127,69,251
68,328,568,93,39,126,61,250
63,339,570,102,42,130,60,248
64,340,536,117,43,124,59,256
54,352,459,106,43,111,49,183
58,323,457,105,44,100,43,162
63,262,498,102,42,95,47,145
63,251,472,92,39,77,44,160
69,277,480,73,39,93,57,162
79,271,524,72,41,98,62,170
72,247,574,78,42,131,72,168
66,307,495,82,42,152,79,187
70,322,499,89,42,151,80,167
68,344,443,84,44,143,74,149
69,376,426,86,40,148,74,118
69,382,427,81,46,132,72,207
87,393,412,87,46,109,62,192
82,389,400,98,48,112,61,213
81,359,429,102,45,112,59,213
72,327,427,103,46,100,54,211
72,332,392,106,47,85,43,152
60,256,387,109,46,94,44,144
64,244,411,98,45,97,50,174
65,267,394,99,49,99,51,178
72,274,454,126,73,102,60,232
81,267,431,162,123,108,63,219
76,269,433,244,137,96,60,220
75,310,430,257,144,104,57,178
79,312,505,270,144,107,65,178
72,292,423,261,135,107,58,123
72,299,431,246,89,103,56,139
74,314,456,179,74,102,59,143
70,335,481,160,60,86,58,146
65,340,442,137,57,113,51,183
79,339,508,147,55,123,55,177
69,331,518,141,54,126,58,187
69,332,502,137,56,133,59,196
73,284,499,149,56,148,62,215
73,265,457,155,59,126,60,186
53,258,376,150,64,122,58,181
53,251,350,147,64,118,60,175
51,238,372,130,56,115,61,162
48,211,315,121,56,99,58,165
49,182,358,119,52,114,62,167
57,214,378,107,44,106,59,166
64,229,380,107,42,107,55,169
67,232,345,109,41,108,49,167
65,262,356,111,41,98,49,135
65,296,315,108,42,85,53,134
64,325,320,109,42,103,64,166
61,325,342,119,42,103,62,140
60,322,351,117,47,98,62,148
65,321,350,112,45,104,62,150
65,314,336,107,48,99,62,148
68,271,324,103,49,84,60,131
65,297,348,91,51,87,61,146
64,308,345,82,50,111,64,142
64,317,375,126,56,106,62,135
68,310,375,160,56,101,58,129
71,320,390,199,65,105,57,106
80,312,369,210,79,107,87,83
102,372,385,217,77,95,88,119
65,262,356,111,41,98,49,135
65,296,315,108,42,85,53,134
151,354,371,226,81,99,117,149
174,353,441,306,97,114,138,184
176,401,561,325,111,124,163,298
204,409,583,361,109,162,167,366
213,422,584,377,109,213,191,438
208,441,593,386,120,275,261,447
241,516,609,350,113,318,551,515
